Source,Target,Type,Id,Label,Weight
1,186,Directed,114175,,1
1,187,Directed,114176,,1
1,188,Directed,114177,,1
1,189,Directed,114178,,1
1,190,Directed,114179,,1
1,191,Directed,114180,,1
1,192,Directed,114181,,1
1,193,Directed,114182,,1
1,194,Directed,114183,,1
1,195,Directed,114184,,1
1,196,Directed,114185,,1
1,197,Directed,114186,,1
1,198,Directed,114187,,1
1,199,Directed,114188,,1
1,200,Directed,114189,,1
1,201,Directed,114190,,1
1,202,Directed,114191,,1
1,203,Directed,114192,,1
1,204,Directed,114193,,1
1,205,Directed,114194,,1
1,206,Directed,114195,,1
1,207,Directed,114196,,1
1,208,Directed,114197,,1
1,209,Directed,114198,,1
1,210,Directed,114199,,1
1,211,Directed,114200,,1
1,212,Directed,114201,,1
1,213,Directed,114202,,1
1,214,Directed,114203,,1
1,215,Directed,114204,,1
1,216,Directed,114205,,1
1,217,Directed,114206,,1
1,218,Directed,114207,,1
1,219,Directed,114208,,1
1,220,Directed,114209,,1
1,221,Directed,114210,,1
1,222,Directed,114211,,1
1,223,Directed,114212,,1
1,224,Directed,114213,,1
1,225,Directed,114214,,1
1,226,Directed,114215,,1
1,227,Directed,114216,,1
1,228,Directed,114217,,1
1,229,Directed,114218,,1
1,230,Directed,114219,,1
1,231,Directed,114220,,1
1,232,Directed,114221,,1
1,233,Directed,114222,,1
1,234,Directed,114223,,1
1,235,Directed,114224,,1
1,236,Directed,114225,,1
1,237,Directed,114226,,1
1,238,Directed,114227,,1
1,239,Directed,114228,,1
1,240,Directed,114229,,1
1,241,Directed,114230,,1
1,242,Directed,114231,,1
1,243,Directed,114232,,1
1,244,Directed,114233,,1
1,245,Directed,114234,,1
1,246,Directed,114235,,1
1,247,Directed,114236,,1
1,248,Directed,114237,,1
1,249,Directed,114238,,1
1,250,Directed,114239,,1
1,251,Directed,114240,,1
1,252,Directed,114241,,1
1,253,Directed,114242,,1
1,254,Directed,114243,,1
1,255,Directed,114244,,1
1,256,Directed,114245,,1
1,257,Directed,114246,,1
1,258,Directed,114247,,1
1,259,Directed,114248,,1
1,260,Directed,114249,,1
1,261,Directed,114250,,1
1,262,Directed,114251,,1
1,263,Directed,114252,,1
1,264,Directed,114253,,1
1,265,Directed,114254,,1
1,266,Directed,114255,,1
1,267,Directed,114256,,1
1,268,Directed,114257,,1
1,269,Directed,114258,,1
1,270,Directed,114259,,1
1,271,Directed,114260,,1
1,272,Directed,114261,,1
1,273,Directed,114262,,1
1,274,Directed,114263,,1
1,275,Directed,114264,,1
1,276,Directed,114265,,1
