Source,Target,Type,Weight
565,3394,Directed,1
565,1015,Directed,1
565,2788,Directed,1
565,3979,Directed,1
565,2217,Directed,1
565,4537,Directed,1
565,1622,Directed,1
565,4539,Directed,1
565,2795,Directed,1
565,1022,Directed,1
565,3985,Directed,1
565,2222,Directed,1
565,1631,Directed,1
565,435,Directed,1
565,438,Directed,1
565,3992,Directed,1
565,2226,Directed,1
565,1636,Directed,1
565,2228,Directed,1
565,3993,Directed,1
565,442,Directed,1
565,3998,Directed,1
565,1035,Directed,1
565,1642,Directed,1
565,2815,Directed,1
565,2814,Directed,1
565,2235,Directed,1
565,2816,Directed,1
565,4559,Directed,1
565,1039,Directed,1
565,2820,Directed,1
565,2238,Directed,1
565,2821,Directed,1
565,453,Directed,1
565,4009,Directed,1
565,456,Directed,1
565,2824,Directed,1
565,4564,Directed,1
565,457,Directed,1
565,3427,Directed,1
565,2242,Directed,1
565,459,Directed,1
565,4012,Directed,1
565,4571,Directed,1
565,2828,Directed,1
565,4573,Directed,1
565,4574,Directed,1
565,3435,Directed,1
565,2245,Directed,1
565,1655,Directed,1
565,2248,Directed,1
565,4579,Directed,1
565,4580,Directed,1
565,4018,Directed,1
565,4019,Directed,1
565,2841,Directed,1
565,3444,Directed,1
565,469,Directed,1
565,3447,Directed,1
565,2846,Directed,1
565,2845,Directed,1
565,2256,Directed,1
565,1664,Directed,1
565,1058,Directed,1
565,1666,Directed,1
565,2262,Directed,1
565,1668,Directed,1
565,4588,Directed,1
565,2858,Directed,1
565,1066,Directed,1
565,4590,Directed,1
565,2861,Directed,1
565,1068,Directed,1
565,1069,Directed,1
565,2269,Directed,1
565,2271,Directed,1
565,477,Directed,1
565,478,Directed,1
565,1075,Directed,1
565,4593,Directed,1
565,2865,Directed,1
565,4029,Directed,1
565,4594,Directed,1
565,1682,Directed,1
565,1081,Directed,1
565,4595,Directed,1
565,1684,Directed,1
565,4599,Directed,1
565,4034,Directed,1
565,4036,Directed,1
565,3476,Directed,1
565,2875,Directed,1
565,2876,Directed,1
565,1087,Directed,1
565,2283,Directed,1
565,4605,Directed,1
565,491,Directed,1
565,1090,Directed,1
565,1093,Directed,1
565,2882,Directed,1
565,2883,Directed,1
565,3483,Directed,1
565,2884,Directed,1
565,4612,Directed,1
565,2294,Directed,1
565,2298,Directed,1
565,2371,Directed,1
565,3486,Directed,1
565,1104,Directed,1
565,4615,Directed,1
565,2891,Directed,1
565,4618,Directed,1
565,3489,Directed,1
565,1109,Directed,1
565,2302,Directed,1
565,3490,Directed,1
565,4621,Directed,1
565,2897,Directed,1
565,2898,Directed,1
565,2304,Directed,1
565,1113,Directed,1
565,4051,Directed,1
565,3496,Directed,1
565,1117,Directed,1
565,1706,Directed,1
565,1708,Directed,1
565,1709,Directed,1
565,4624,Directed,1
565,1121,Directed,1
565,1713,Directed,1
565,2307,Directed,1
565,508,Directed,1
565,1715,Directed,1
565,1718,Directed,1
565,1123,Directed,1
565,1716,Directed,1
565,2910,Directed,1
565,2911,Directed,1
565,2312,Directed,1
565,1126,Directed,1
565,1128,Directed,1
565,3505,Directed,1
565,2315,Directed,1
565,4637,Directed,1
565,2920,Directed,1
565,2316,Directed,1
565,2922,Directed,1
565,3508,Directed,1
565,2317,Directed,1
